"filename", "language", "Markdown", "PHP", "Batch", "Ruby", "JavaScript", "CSS", "Docker", "YAML", "Shell Script", "Properties", "JSON", "MS SQL", "comment", "blank", "total"
"d:\wamp64\www\darkened-hub-dev\common\models\PublicProposal.php", "PHP", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 21, 137
"d:\wamp64\www\darkened-hub-dev\common\models\Song.php", "PHP", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 17, 191
"d:\wamp64\www\darkened-hub-dev\common\models\User.php", "PHP", 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 46, 416
"d:\wamp64\www\darkened-hub-dev\common\tests\_bootstrap.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\wamp64\www\darkened-hub-dev\common\tests\_data\user.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 15
"d:\wamp64\www\darkened-hub-dev\common\tests\_support\UnitTester.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3, 27
"d:\wamp64\www\darkened-hub-dev\common\tests\unit.suite.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\wamp64\www\darkened-hub-dev\common\tests\unit\models\LoginFormTest.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 68
"d:\wamp64\www\darkened-hub-dev\common\widgets\ActionColumn.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 63
"d:\wamp64\www\darkened-hub-dev\common\widgets\Alert.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 9, 77
"d:\wamp64\www\darkened-hub-dev\common\widgets\DatePicker.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\wamp64\www\darkened-hub-dev\common\widgets\DateTimePicker.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"d:\wamp64\www\darkened-hub-dev\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 1, 64
"d:\wamp64\www\darkened-hub-dev\composer.lock", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7195, 0, 0, 1, 7196
"d:\wamp64\www\darkened-hub-dev\console\config\bootstrap.php", "PHP", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\wamp64\www\darkened-hub-dev\console\config\main.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"d:\wamp64\www\darkened-hub-dev\console\config\params.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\wamp64\www\darkened-hub-dev\console\config\test.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\wamp64\www\darkened-hub-dev\console\migrations\m130524_201442_init.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 34
"d:\wamp64\www\darkened-hub-dev\console\migrations\m190124_110200_add_verification_token_column_to_user_table.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\wamp64\www\darkened-hub-dev\console\migrations\m240518_142815_base_structure.php", "PHP", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 115
"d:\wamp64\www\darkened-hub-dev\console\migrations\m240519_150049_initial_datas.php", "PHP", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 73
"d:\wamp64\www\darkened-hub-dev\console\migrations\m240701_074339_update_chimes.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 27
"d:\wamp64\www\darkened-hub-dev\console\migrations\m240701_091010_update_chimes_bpm.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 27
"d:\wamp64\www\darkened-hub-dev\console\migrations\m241201_212541_add_state_column_to_songs_table.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 24
"d:\wamp64\www\darkened-hub-dev\darkenedhub.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 233, 154, 82, 469
"d:\wamp64\www\darkened-hub-dev\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 10, 5, 38
"d:\wamp64\www\darkened-hub-dev\docs\documentation.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\wamp64\www\darkened-hub-dev\environments\dev\backend\config\codeception-local.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\wamp64\www\darkened-hub-dev\environments\dev\backend\config\main-local.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 26
"d:\wamp64\www\darkened-hub-dev\environments\dev\backend\config\params-local.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\wamp64\www\darkened-hub-dev\environments\dev\backend\config\test-local.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\wamp64\www\darkened-hub-dev\environments\dev\backend\web\index-test.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 28
"d:\wamp64\www\darkened-hub-dev\environments\dev\backend\web\index.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\wamp64\www\darkened-hub-dev\environments\dev\common\config\codeception-local.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"d:\wamp64\www\darkened-hub-dev\environments\dev\common\config\main-local.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 2, 44
"d:\wamp64\www\darkened-hub-dev\environments\dev\common\config\params-local.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\wamp64\www\darkened-hub-dev\environments\dev\common\config\test-local.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\wamp64\www\darkened-hub-dev\environments\dev\console\config\main-local.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
